selectivity_target,selectivity_actual,label,base_count,query_count,threads,best_L,recall,qps,latency_us,p99_latency_us
0.004,0.0055809,1985,55809,200,1,10,0.0,5794.89,172.37,370.68
0.005,0.0055809,1985,55809,200,1,10,0.0,5752.25,173.61,355.3
0.01,0.0097939,0,97939,200,1,10,0.0,5851.95,170.72,369.81
0.02,0.0203896,106,203896,200,1,4000,63.3,26.35,37948.36,65111.27
0.05,0.0499079,24,499079,200,1,4000,88.65,40.68,24580.15,40289.08
0.099,0.0991156,17,991156,200,1,4000,95.5,35.12,28476.52,33282.0
0.192,0.1915985,29,1915985,200,1,4000,98.05,30.01,33317.2,43926.71
